MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
684613,270746,NRG,1034,won,2,0,0
684613,270746,XLG,13581,lost,0,5,1
684613,270747,NRG,1034,won,0,4,0
684613,270747,XLG,13581,lost,2,2,0
684610,270737,VIT,11981,won,2,1,0
684610,270737,DRG,2059,lost,0,3,1
684610,270738,VIT,11981,won,2,0,0
684610,270738,DRG,2059,lost,0,3,0
684611,270740,FUT,1184,won,2,1,1
684611,270740,FS,4050,lost,0,4,0
684611,270741,FUT,1184,won,1,2,0
684611,270741,FS,4050,lost,1,1,0
684612,270743,GE,2359,won,2,0,0
684612,270743,LEV,918,lost,0,3,0
684612,270744,LEV,918,won,2,1,1
684612,270744,GE,2359,lost,0,4,0
684612,270745,LEV,918,won,2,1,0
684612,270745,GE,2359,lost,0,3,1
684614,270749,VIT,2059,won,0,2,0
684614,270749,FUT,1184,lost,2,2,1
684614,270750,FUT,1184,won,1,1,0
684614,270750,VIT,2059,lost,1,2,0
684614,270751,VIT,2059,won,0,3,0
684614,270751,FUT,1184,lost,2,3,1
684615,270752,LEV,2359,won,2,1,0
684615,270752,NRG,1034,lost,0,3,0
684615,270753,NRG,1034,won,2,1,0
684615,270753,LEV,2359,lost,0,1,0
684615,270754,LEV,2359,won,1,1,0
684615,270754,NRG,1034,lost,1,3,0
684616,270755,DRG,11981,won,2,1,0
684616,270755,XLG,13581,lost,0,3,1
684616,270756,XLG,13581,won,0,3,1
684616,270756,DRG,11981,lost,2,2,0
684616,270757,XLG,13581,won,1,1,0
684616,270757,DRG,11981,lost,1,3,1
684617,270758,FS,4050,won,0,3,1
684617,270758,GE,918,lost,2,0,0
684617,270759,GE,918,won,1,1,0
684617,270759,FS,4050,lost,1,0,0
684617,270760,GE,918,won,2,2,0
684617,270760,FS,4050,lost,0,4,0
684619,270764,NRG,1034,won,1,3,0
684619,270764,FUT,1184,lost,1,2,0
684619,270765,FUT,1184,won,1,2,2
684619,270765,NRG,1034,lost,1,4,1
684619,270766,FUT,1184,won,2,0,0
684619,270766,NRG,1034,lost,0,4,0
